angular_position,angular_speed,angular_acceleration,u
0.0794381,-0.239429,0,2028.89
0.078241,-0.254396,0,1969.22
0.076969,-0.268873,0,1911.3
0.0756246,-0.282851,0,1855.09
0.0742104,-0.29632,0,1800.52
0.0727288,-0.309271,0,1747.57
0.0711824,-0.321697,0,1696.17
0.0695739,-0.33359,0,1646.28
0.067906,-0.344943,0,1597.86
0.0661813,-0.35575,0,1550.87
0.0644025,-0.366007,0,1505.25
0.0625725,-0.375708,0,1460.98
0.0606939,-0.384849,0,1418.01
0.0587697,-0.393428,0,1376.3
0.0568025,-0.401442,0,1335.82
0.0547953,-0.408889,0,1296.54
0.0527509,-0.415768,0,1258.4
0.0506721,-0.422077,0,1221.39
0.0485617,-0.427819,0,1185.47
0.0464226,-0.432992,0,1150.6
0.0442576,-0.437599,0,1116.76
0.0420696,-0.441642,0,1083.91
0.0398614,-0.445122,0,1052.03
0.0376358,-0.448045,0,1021.09
0.0353956,-0.450413,0,991.059
0.0331435,-0.45223,0,961.91
0.0308824,-0.453503,0,933.619
0.0286148,-0.454236,0,906.16
0.0263437,-0.454436,0,879.508
0.0240715,-0.454109,0,853.64
0.0218009,-0.453262,0,828.533
0.0195346,-0.451904,0,804.164
0.0172751,-0.450042,0,780.512
0.0150249,-0.447686,0,757.556
0.0127865,-0.444843,0,735.275
0.0105623,-0.441525,0,713.649
0.00835463,-0.437741,0,692.66
0.00616593,-0.433501,0,672.287
0.00399843,-0.428816,0,652.514
0.00185435,-0.423697,0,633.323
-0.00026414,-0.418157,0,614.695
-0.00235492,-0.412206,0,596.616
-0.00441596,-0.405858,0,579.069
-0.00644524,-0.399124,0,562.037
-0.00844086,-0.392017,0,545.507
-0.010401,-0.384551,0,529.462
-0.0123237,-0.376739,0,513.89
-0.0142074,-0.368594,0,498.775
-0.0160504,-0.360131,0,484.106
-0.017851,-0.351362,0,469.867
-0.0196078,-0.342303,0,456.048
-0.0213194,-0.332967,0,442.634
-0.0229842,-0.323369,0,429.616
-0.024601,-0.313523,0,416.98
-0.0261686,-0.303444,0,404.716
-0.0276859,-0.293147,0,392.812
-0.0291516,-0.282646,0,381.259
-0.0305648,-0.271956,0,370.046
-0.0319246,-0.261092,0,359.162
-0.0332301,-0.250069,0,348.598
-0.0344804,-0.238901,0,338.345
-0.0356749,-0.227604,0,328.394
-0.0368129,-0.216191,0,318.736
-0.0378939,-0.204678,0,309.361
-0.0389173,-0.193079,0,300.262
-0.0398827,-0.181409,0,291.431
-0.0407897,-0.169682,0,282.859
-0.0416381,-0.157912,0,274.54
-0.0424277,-0.146114,0,266.465
-0.0431583,-0.1343,0,258.628
-0.0438298,-0.122486,0,251.021
-0.0444422,-0.110684,0,243.638
-0.0449956,-0.0989079,0,236.473
-0.0454901,-0.0871712,0,229.517
-0.045926,-0.0754866,0,222.767
-0.0463034,-0.0638669,0,216.215
-0.0466228,-0.0523245,0,209.856
-0.0468844,-0.0408716,0,203.683
-0.0470887,-0.0295203,0,197.693
-0.0472364,-0.0182823,0,191.878
-0.0473278,-0.00716891,0,186.235
-0.0473636,0.00380869,0,180.757
-0.0473446,0.0146397,0,175.441
-0.0472714,0.0253135,0,170.281
-0.0471448,0.0358201,0,165.273
-0.0469657,0.0461494,0,160.412
-0.0467349,0.056292,0,155.694
-0.0464535,0.0662387,0,151.114
-0.0461223,0.0759805,0,146.67
-0.0457424,0.085509,0,142.356
-0.0453148,0.0948161,0,138.169
-0.0448408,0.103894,0,134.105
-0.0443213,0.112735,0,130.161
-0.0437576,0.121332,0,126.333
-0.043151,0.129679,0,122.617
-0.0425026,0.137769,0,119.011
-0.0418137,0.145596,0,115.51
-0.0410857,0.153154,0,112.113
-0.04032,0.160439,0,108.816
-0.0395178,0.167446,0,105.615
-0.0386806,0.17417,0,102.509
-0.0378097,0.180607,0,99.4939
-0.0369067,0.186753,0,96.5676
-0.0359729,0.192605,0,93.7274
-0.0350099,0.198161,0,90.9707
-0.0340191,0.203417,0,88.2951
-0.033002,0.208371,0,85.6982
-0.0319601,0.213023,0,83.1776
-0.030895,0.217369,0,80.7312
-0.0298082,0.221409,0,78.3568
-0.0287011,0.225143,0,76.0522
-0.0275754,0.22857,0,73.8153
-0.0264326,0.23169,0,71.6443
-0.0252741,0.234503,0,69.5371
-0.0241016,0.237011,0,67.4919
-0.0229165,0.239214,0,65.5068
-0.0217205,0.241114,0,63.5802
-0.0205149,0.242711,0,61.7102
-0.0193013,0.24401,0,59.8952
-0.0180813,0.245011,0,58.1335
-0.0168562,0.245717,0,56.4237
-0.0156277,0.246132,0,54.7642
-0.014397,0.246259,0,53.1535
-0.0131657,0.246101,0,51.5902
-0.0119352,0.245662,0,50.0728
-0.0107069,0.244946,0,48.6001
-0.00948216,0.243958,0,47.1707
-0.00826238,0.242702,0,45.7833
-0.00704886,0.241184,0,44.4367
-0.00584295,0.239407,0,43.1298
-0.00464591,0.237379,0,41.8612
-0.00345902,0.235104,0,40.63
-0.0022835,0.232588,0,39.435
-0.00112056,0.229837,0,38.2752
2.86269e-05,0.226857,0,37.1494
0.00116291,0.223655,0,36.0568
0.00228119,0.220238,0,34.9963
0.00338238,0.216611,0,33.967
0.00446544,0.212782,0,32.968
0.00552935,0.208759,0,31.9983
0.00657314,0.204547,0,31.0572
0.00759587,0.200154,0,30.1437
0.00859664,0.195588,0,29.2572
0.00957459,0.190857,0,28.3967
0.0105289,0.185967,0,27.5615
0.0114587,0.180927,0,26.7508
0.0123633,0.175744,0,25.964
0.0132421,0.170426,0,25.2004
0.0140942,0.164981,0,24.4592
0.0149191,0.159416,0,23.7398
0.0157162,0.153741,0,23.0416
0.0164849,0.147962,0,22.3639
0.0172247,0.142088,0,21.7061
0.0179351,0.136127,0,21.0677
0.0186158,0.130086,0,20.4481
0.0192662,0.123974,0,19.8467
0.0198861,0.117799,0,19.2629
0.0204751,0.111568,0,18.6964
0.0210329,0.105289,0,18.1465
0.0215593,0.0989712,0,17.6128
0.0220542,0.0926211,0,17.0947
0.0225173,0.0862467,0,16.592
0.0229485,0.0798557,0,16.104
0.0233478,0.0734556,0,15.6303
0.0237151,0.067054,0,15.1706
0.0240504,0.0606582,0,14.7244
0.0243537,0.0542754,0,14.2913
0.024625,0.0479129,0,13.871
0.0248646,0.0415776,0,13.463
0.0250725,0.0352766,0,13.0671
0.0252489,0.0290165,0,12.6827
0.025394,0.0228042,0,12.3097
0.025508,0.016646,0,11.9477
0.0255912,0.0105483,0,11.5963
0.0256439,0.00451745,0,11.2552
0.0256665,-0.00144058,0,10.9242
0.0256593,-0.00731987,0,10.6029
0.0256227,-0.0131147,0,10.291
0.0255572,-0.0188195,0,9.98833
0.0254631,-0.0244288,0,9.69456
0.0253409,-0.0299376,0,9.40943
0.0251912,-0.0353407,0,9.13268
0.0250145,-0.0406333,0,8.86407
0.0248114,-0.0458107,0,8.60336
0.0245823,-0.0508685,0,8.35032
0.024328,-0.0558025,0,8.10472
0.0240489,-0.0606086,0,7.86635
0.0237459,-0.0652828,0,7.63499
0.0234195,-0.0698216,0,7.41043
0.0230704,-0.0742215,0,7.19247
0.0226993,-0.0784792,0,6.98093
0.0223069,-0.0825917,0,6.77561
0.0218939,-0.0865561,0,6.57633
0.0214611,-0.0903697,0,6.38291
0.0210093,-0.0940302,0,6.19517
0.0205391,-0.0975353,0,6.01296
0.0200515,-0.100883,0,5.83611
0.019547,-0.104072,0,5.66446
0.0190267,-0.107099,0,5.49786
0.0184912,-0.109965,0,5.33616
0.0179414,-0.112667,0,5.17921
0.017378,-0.115204,0,5.02688
0.016802,-0.117577,0,4.87903
0.0162141,-0.119783,0,4.73553
0.0156152,-0.121824,0,4.59625
0.0150061,-0.123698,0,4.46107
0.0143876,-0.125405,0,4.32986
0.0137606,-0.126947,0,4.20251
0.0131258,-0.128322,0,4.07891
0.0124842,-0.129533,0,3.95894
0.0118366,-0.130578,0,3.8425
0.0111837,-0.13146,0,3.72948
0.0105264,-0.13218,0,3.61979
0.00986548,-0.132738,0,3.51333
0.00920179,-0.133137,0,3.41
0.0085361,-0.133377,0,3.3097
0.00786922,-0.133461,0,3.21236
0.00720191,-0.133391,0,3.11788
0.00653496,-0.133168,0,3.02617
0.00586912,-0.132795,0,2.93717
0.00520514,-0.132274,0,2.85078
0.00454377,-0.131607,0,2.76694
0.00388574,-0.130798,0,2.68556
0.00323174,-0.12985,0,2.60657
0.0025825,-0.128764,0,2.5299
0.00193868,-0.127544,0,2.4555
0.00130096,-0.126193,0,2.38328
0.000669994,-0.124715,0,2.31318
4.642e-05,-0.123112,0,2.24514
-0.000569141,-0.121389,0,2.17911
