20,800
theta,thetaDot,P1,P2,u1,u2
0.142802,0.191889,38329.9,0.386106,43372.7,358502
0.143303,0.193633,38662.2,0.389432,43704.3,358170
0.143821,0.195378,38994.6,0.392758,44035.9,357838
0.144358,0.197122,39326.8,0.396084,44367.4,357506
0.144917,0.198867,39659,0.399409,44698.8,357175
0.1455,0.200611,39991.2,0.402733,45030.2,356843
0.146109,0.202356,40323.3,0.406057,45361.5,356511
0.146746,0.2041,40655.4,0.409381,45692.8,356180
0.147412,0.205844,40987.4,0.412704,46024,355848
0.14811,0.207589,41319.3,0.416026,46355.2,355517
0.148841,0.209333,41651.2,0.419348,46686.3,355185
0.149606,0.211078,41983.1,0.42267,47017.3,354854
0.150407,0.212822,42314.9,0.425991,47348.3,354522
0.151245,0.214567,42646.6,0.429311,47679.2,354191
0.152121,0.216311,42978.3,0.432631,48010.1,353860
0.153035,0.218056,43309.9,0.43595,48340.9,353529
0.153989,0.2198,43641.5,0.439269,48671.6,353198
0.154984,0.221544,43973,0.442587,49002.3,352866
0.156018,0.223289,44304.5,0.445904,49332.9,352535
0.157094,0.225033,44635.9,0.449221,49663.4,352205
0.15821,0.226778,44967.2,0.452538,49993.9,351874
0.159368,0.228522,45298.5,0.455853,50324.3,351543
0.160566,0.230267,45629.8,0.459169,50654.7,351212
0.161805,0.232011,45960.9,0.462483,50984.9,350881
0.163084,0.233756,46292,0.465797,51315.2,350551
0.164402,0.2355,46623.1,0.469111,51645.3,350220
0.165759,0.237244,46954.1,0.472424,51975.4,349890
0.167154,0.238989,47285,0.475736,52305.4,349559
0.168586,0.240733,47615.9,0.479047,52635.4,349229
0.170054,0.242478,47946.7,0.482358,52965.3,348899
0.171556,0.244222,48277.5,0.485669,53295.1,348568
0.173092,0.245967,48608.2,0.488978,53624.8,348238
0.174659,0.247711,48938.8,0.492288,53954.5,347908
0.176258,0.249456,49269.3,0.495596,54284.1,347578
0.177884,0.2512,49599.8,0.498904,54613.6,347248
0.179538,0.252944,49930.3,0.502211,54943.1,346918
0.181217,0.254689,50260.6,0.505518,55272.5,346588
0.18292,0.256433,50591,0.508823,55601.8,346259
0.184644,0.258178,50921.2,0.512129,55931.1,345929
0.186388,0.259922,51251.4,0.515433,56260.3,345599
0.188149,0.261667,51581.5,0.518737,56589.4,345270
0.189925,0.263411,51911.5,0.52204,56918.4,344940
0.191715,0.265156,52241.5,0.525343,57247.4,344611
0.193516,0.2669,52571.4,0.528645,57576.2,344282
0.195326,0.268644,52901.2,0.531946,57905.1,343952
0.197142,0.270389,53231,0.535247,58233.8,343623
0.198964,0.272133,53560.7,0.538547,58562.5,343294
0.200788,0.273878,53890.4,0.541846,58891,342965
0.202612,0.275622,54219.9,0.545144,59219.6,342636
0.204434,0.277367,54549.4,0.548442,59548,342307
0.206253,0.279111,54878.8,0.551739,59876.3,341978
0.208065,0.280856,55208.2,0.555035,60204.6,341649
0.209869,0.2826,55537.5,0.558331,60532.8,341321
0.211663,0.284344,55866.7,0.561626,60860.9,340992
0.213446,0.286089,56195.8,0.56492,61189,340664
0.215214,0.287833,56524.9,0.568213,61517,340335
0.216967,0.289578,56853.9,0.571506,61844.8,340007
0.218702,0.291322,57182.8,0.574798,62172.7,339678
0.220418,0.293067,57511.7,0.578089,62500.4,339350
0.222113,0.294811,57840.4,0.58138,62828,339022
0.223786,0.296556,58169.1,0.584669,63155.6,338694
0.225435,0.2983,58497.8,0.587958,63483.1,338366
0.22706,0.300044,58826.3,0.591246,63810.5,338038
0.228658,0.301789,59154.8,0.594534,64137.8,337710
0.230229,0.303533,59483.2,0.597821,64465,337382
0.231772,0.305278,59811.5,0.601106,64792.2,337055
0.233285,0.307022,60139.7,0.604392,65119.2,336727
0.234768,0.308767,60467.9,0.607676,65446.2,336400
0.236221,0.310511,60796,0.610959,65773.1,336072
0.237643,0.312256,61124,0.614242,66099.9,335745
0.239032,0.314,61451.9,0.617524,66426.7,335418
0.24039,0.315744,61779.7,0.620805,66753.3,335090
0.241715,0.317489,62107.5,0.624086,67079.8,334763
0.243008,0.319233,62435.2,0.627365,67406.3,334436
0.244269,0.320978,62762.8,0.630644,67732.7,334109
0.245497,0.322722,63090.3,0.633922,68059,333782
0.246693,0.324467,63417.8,0.637199,68385.2,333456
0.247857,0.326211,63745.1,0.640475,68711.3,333129
0.24899,0.327956,64072.4,0.643751,69037.3,332802
0.250092,0.3297,64399.6,0.647025,69363.3,332476
0.251164,0.331444,64726.7,0.650299,69689.1,332150
0.252206,0.333189,65053.7,0.653572,70014.9,331823
0.25322,0.334933,65380.7,0.656844,70340.5,331497
0.254205,0.336678,65707.5,0.660115,70666.1,331171
0.255165,0.338422,66034.3,0.663386,70991.6,330845
0.256098,0.340167,66361,0.666655,71317,330519
0.257007,0.341911,66687.6,0.669924,71642.3,330193
0.257893,0.343656,67014.1,0.673192,71967.5,329867
0.258756,0.3454,67340.6,0.676459,72292.6,329541
0.259599,0.347144,67666.9,0.679725,72617.6,329216
0.260423,0.348889,67993.2,0.68299,72942.6,328890
0.261229,0.350633,68319.3,0.686254,73267.4,328565
0.262019,0.352378,68645.4,0.689518,73592.1,328239
0.262794,0.354122,68971.4,0.69278,73916.8,327914
0.263556,0.355867,69297.3,0.696042,74241.3,327589
0.264306,0.357611,69623.1,0.699303,74565.8,327264
0.265046,0.359356,69948.8,0.702562,74890.1,326939
0.265778,0.3611,70274.5,0.705821,75214.4,326614
0.266504,0.362844,70600,0.709079,75538.6,326289
0.267224,0.364589,70925.4,0.712336,75862.6,325965
0.267942,0.366333,71250.8,0.715592,76186.6,325640
0.268657,0.368078,71576.1,0.718848,76510.4,325316
0.269373,0.369822,71901.2,0.722102,76834.2,324991
0.27009,0.371567,72226.3,0.725355,77157.9,324667
0.27081,0.373311,72551.3,0.728608,77481.4,324343
0.271535,0.375056,72876.2,0.731859,77804.9,324019
0.272266,0.3768,73201,0.73511,78128.3,323695
0.273005,0.378544,73525.7,0.738359,78451.5,323371
0.273753,0.380289,73850.3,0.741608,78774.7,323047
0.274512,0.382033,74174.8,0.744856,79097.8,322723
0.275282,0.383778,74499.2,0.748102,79420.7,322400
0.276066,0.385522,74823.5,0.751348,79743.6,322076
0.276864,0.387267,75147.8,0.754593,80066.3,321753
0.277678,0.389011,75471.9,0.757837,80389,321429
0.278508,0.390756,75795.9,0.761079,80711.5,321106
0.279356,0.3925,76119.8,0.764321,81034,320783
0.280222,0.394244,76443.7,0.767562,81356.3,320460
0.281108,0.395989,76767.4,0.770802,81678.5,320137
0.282014,0.397733,77091,0.774041,82000.7,319814
0.282941,0.399478,77414.6,0.777279,82322.7,319492
0.283889,0.401222,77738,0.780515,82644.6,319169
0.284859,0.402967,78061.3,0.783751,82966.4,318846
0.285852,0.404711,78384.6,0.786986,83288.1,318524
0.286867,0.406456,78707.7,0.79022,83609.7,318202
0.287906,0.4082,79030.7,0.793453,83931.2,317880
0.288967,0.409944,79353.7,0.796684,84252.5,317558
0.290052,0.411689,79676.5,0.799915,84573.8,317236
0.291161,0.413433,79999.2,0.803145,84895,316914
0.292293,0.415178,80321.8,0.806373,85216,316592
0.293447,0.416922,80644.3,0.809601,85537,316270
0.294625,0.418667,80966.7,0.812827,85857.8,315949
0.295825,0.420411,81289,0.816053,86178.5,315627
0.297047,0.422156,81611.2,0.819277,86499.1,315306
0.298291,0.4239,81933.3,0.822501,86819.6,314985
0.299556,0.425644,82255.3,0.825723,87140,314664
0.300842,0.427389,82577.2,0.828944,87460.2,314343
0.302147,0.429133,82899,0.832165,87780.4,314022
0.303472,0.430878,83220.6,0.835384,88100.4,313701
0.304814,0.432622,83542.2,0.838602,88420.4,313380
0.306174,0.434367,83863.6,0.841819,88740.2,313060
0.30755,0.436111,84185,0.845034,89059.9,312739
0.308942,0.437856,84506.2,0.848249,89379.4,312419
0.310348,0.4396,84827.3,0.851463,89698.9,312099
0.311768,0.441344,85148.4,0.854675,90018.3,311779
0.313199,0.443089,85469.3,0.857887,90337.5,311459
0.314642,0.444833,85790.1,0.861097,90656.6,311139
0.316095,0.446578,86110.7,0.864306,90975.6,310819
0.317556,0.448322,86431.3,0.867515,91294.5,310499
0.319025,0.450067,86751.8,0.870722,91613.3,310180
