20,400
theta,thetaDot,P1,P2,u1,u2
0.0810656,-2.09763,170051,170051,166129,166128
0.0705774,-1.81317,170051,170051,166129,166128
0.0615116,-1.52292,170051,170051,166129,166128
0.0538969,-1.22772,170051,170051,166129,166128
0.0477584,-0.928409,170051,170051,166129,166128
0.0431163,-0.625869,170051,170051,166129,166128
0.039987,-0.320981,170051,170051,166129,166128
0.0383821,-0.0146351,170051,170051,166129,166128
0.0383089,0.292271,170051,170051,166129,166128
0.0397702,0.598837,170051,170051,166129,166128
0.0427644,0.904161,170051,170051,166128,166128
0.0472852,1.20734,170051,170051,166128,166128
0.0533219,1.50749,170051,170051,166128,166128
0.0608594,1.80372,170051,170051,166128,166128
0.069878,2.09515,170051,170051,166128,166128
0.0803537,2.38093,170051,170051,166128,166128
0.0922584,2.6602,170051,170051,166128,166128
0.105559,2.93216,170051,170051,166128,166128
0.12022,3.196,170051,170051,166128,166128
0.1362,3.45094,170051,170051,166128,166128
0.153455,3.69627,170051,170051,166128,166128
0.171936,3.93126,170051,170051,166128,166128
0.191592,4.15525,170051,170051,166128,166128
0.212369,4.36762,170051,170051,166128,166128
0.234207,4.5678,170051,170051,166128,166128
0.257046,4.75526,170051,170051,166128,166128
0.280822,4.92952,170051,170051,166128,166128
0.30547,5.09016,170051,170051,166128,166128
0.330921,5.23683,170051,170051,166128,166128
0.357105,5.36922,170051,170051,166128,166128
0.383951,5.4871,170051,170051,166128,166128
0.411386,5.59028,170051,170051,166128,166128
0.439338,5.67867,170051,170051,166128,166128
0.467731,5.7522,170051,170051,166128,166128
0.496492,5.8109,170051,170051,166128,166128
0.525547,5.85483,170051,170051,166128,166128
0.554821,5.88415,170051,170051,166128,166128
0.584241,5.89904,170051,170051,166128,166128
0.613737,5.89975,170051,170051,166128,166128
0.643235,5.88659,170051,170051,166128,166128
0.672668,5.85989,170051,170051,166128,166128
0.701968,5.82005,170051,170051,166128,166128
0.731068,5.76749,170051,170051,166128,166128
0.759906,5.70267,170051,170051,166128,166128
0.788419,5.62609,170051,170051,166128,166128
0.816549,5.53824,170051,170051,166128,166128
0.844241,5.43967,170051,170051,166128,166128
0.871439,5.3309,170051,170051,166128,166128
0.898093,5.2125,170051,170051,166128,166128
0.924156,5.085,170051,170051,166128,166128
0.949581,4.94897,170051,170051,166128,166128
0.974326,4.80495,170051,170051,166128,166128
0.99835,4.65348,170051,170051,166128,166128
1.02162,4.49509,170051,170051,166128,166128
1.04409,4.33029,170051,170051,166128,166128
1.06574,4.15958,170051,170051,166128,166128
1.08654,3.98344,170051,170051,166128,166128
1.10646,3.80232,170051,170051,166128,166128
1.12547,3.61668,170051,170051,166128,166128
1.14355,3.42691,170051,170051,166128,166128
1.16069,3.23342,170051,170051,166128,166128
1.17686,3.03658,170051,170051,166128,166128
1.19204,2.83674,170051,170051,166128,166128
1.20622,2.63422,170051,170051,166128,166128
1.21939,2.42933,170051,170051,166128,166128
1.23154,2.22236,170051,170051,166128,166128
1.24265,2.01357,170051,170051,166128,166128
1.25272,1.80321,170051,170051,166128,166128
1.26174,1.5915,170051,170051,166128,166128
1.26969,1.37868,170051,170051,166128,166128
1.27659,1.16492,170051,170051,166128,166128
1.28241,0.95043,170051,170051,166128,166128
1.28716,0.735376,170051,170051,166128,166128
1.29084,0.519927,170051,170051,166128,166128
1.29344,0.304242,170051,170051,166128,166128
1.29496,0.0884723,170051,170051,166128,166128
1.2954,-0.127232,170051,170051,166128,166128
1.29477,-0.342727,170051,170051,166128,166128
1.29305,-0.557866,170051,170051,166128,166128
1.29027,-0.772506,170051,170051,166128,166128
1.2864,-0.986497,170051,170051,166128,166128
1.28147,-1.19969,170051,170051,166128,166128
1.27547,-1.41192,170051,170051,166128,166128
1.26841,-1.62303,170051,170051,166128,166128
1.2603,-1.83284,170051,170051,166128,166128
1.25113,-2.04117,170051,170051,166128,166128
1.24093,-2.24782,170051,170051,166128,166128
1.22969,-2.45257,170051,170051,166128,166128
1.21742,-2.65521,170051,170051,166128,166128
1.20415,-2.85548,170051,170051,166128,166128
1.18987,-3.05313,170051,170051,166128,166128
1.17461,-3.24788,170051,170051,166128,166128
1.15837,-3.43942,170051,170051,166128,166128
1.14117,-3.62744,170051,170051,166128,166128
1.12303,-3.8116,170051,170051,166128,166128
1.10397,-3.99153,170051,170051,166128,166128
1.08402,-4.16686,170051,170051,166128,166128
1.06318,-4.33716,170051,170051,166128,166128
1.0415,-4.50203,170051,170051,166128,166128
1.01899,-4.66101,170051,170051,166128,166128
0.995681,-4.81363,170051,170051,166128,166128
0.971613,-4.95941,170051,170051,166128,166128
0.946816,-5.09785,170051,170051,166128,166128
0.921327,-5.22844,170051,170051,166128,166128
0.895184,-5.35065,170051,170051,166128,166128
0.868431,-5.46395,170051,170051,166128,166128
0.841111,-5.5678,170051,170051,166128,166128
0.813272,-5.66166,170051,170051,166128,166128
0.784964,-5.74499,170051,170051,166128,166128
0.756239,-5.81726,170051,170051,166128,166128
0.727153,-5.87796,170051,170051,166128,166128
0.697763,-5.92658,170051,170051,166128,166128
0.66813,-5.96265,170051,170051,166128,166128
0.638317,-5.98571,170051,170051,166128,166128
0.608388,-5.99533,170051,170051,166128,166128
0.578412,-5.99113,170051,170051,166128,166128
0.548456,-5.97278,170051,170051,166128,166128
0.518592,-5.93996,170051,170051,166128,166128
0.488892,-5.89244,170051,170051,166128,166128
0.45943,-5.83002,170051,170051,166128,166128
0.43028,-5.75256,170051,170051,166128,166128
0.401517,-5.65998,170051,170051,166128,166128
0.373217,-5.55228,170051,170051,166128,166128
0.345456,-5.42951,170051,170051,166128,166128
0.318308,-5.29177,170051,170051,166128,166128
0.29185,-5.13925,170051,170051,166128,166128
0.266153,-4.9722,170051,170051,166128,166128
0.241292,-4.79092,170051,170051,166128,166128
0.217338,-4.5958,170051,170051,166128,166128
0.194359,-4.38726,170051,170051,166128,166128
0.172423,-4.1658,170051,170051,166128,166128
0.151594,-3.93196,170051,170051,166128,166128
0.131934,-3.68636,170051,170051,166128,166128
0.113502,-3.42963,170051,170051,166128,166128
0.0963538,-3.16248,170051,170051,166128,166128
0.0805414,-2.88564,170051,170051,166128,166128
0.0661132,-2.59989,170051,170051,166128,166128
0.0531137,-2.30604,170051,170051,166128,166128
0.0415835,-2.00492,170051,170051,166128,166128
0.0315589,-1.69741,170051,170051,166128,166128
0.0230719,-1.38439,170051,170051,166128,166128
0.0161499,-1.06677,170051,170051,166128,166128
0.0108161,-0.745477,170051,170051,166128,166128
0.00708871,-0.421448,170051,170051,166128,166128
0.00498147,-0.095633,170051,170051,166128,166128
0.0045033,0.231015,170051,170051,166128,166128
0.00565837,0.557535,170051,170051,166128,166128
0.00844605,0.882968,170051,170051,166128,166128
0.0128609,1.20635,170051,170051,166128,166128
0.0188927,1.52674,170051,170051,166128,166128
0.0265264,1.84318,170051,170051,166128,166128
0.0357423,2.15473,170051,170051,166128,166128
0.0465159,2.46048,170051,170051,166128,166128
0.0588183,2.75951,170051,170051,166128,166128
0.0726159,3.05095,170051,170051,166128,166128
0.0878706,3.33392,170051,170051,166128,166128
0.10454,3.6076,170051,170051,166128,166128
0.122578,3.87119,170051,170051,166128,166128
0.141934,4.12392,170051,170051,166128,166128
0.162554,4.36507,170051,170051,166128,166128
0.184379,4.59395,170051,170051,166128,166128
0.207349,4.80993,170051,170051,166128,166128
0.231399,5.01243,170051,170051,166128,166128
0.256461,5.20093,170051,170051,166128,166128
0.282465,5.37497,170051,170051,166128,166128
0.30934,5.53413,170051,170051,166128,166128
0.337011,5.6781,170051,170051,166128,166128
0.365401,5.80658,170051,170051,166128,166128
0.394434,5.9194,170051,170051,166128,166128
0.424031,6.01641,170051,170051,166128,166128
0.454113,6.09757,170051,170051,166128,166128
0.484601,6.16287,170051,170051,166128,166128
0.515416,6.21241,170051,170051,166128,166128
0.546478,6.24633,170051,170051,166128,166128
0.577709,6.26484,170051,170051,166128,166128
0.609033,6.26821,170051,170051,166128,166128
0.640375,6.25678,170051,170051,166128,166128
0.671658,6.23091,170051,170051,166128,166128
0.702813,6.19105,170051,170051,166128,166128
0.733768,6.13767,170051,170051,166128,166128
0.764457,6.07126,170051,170051,166128,166128
0.794813,5.99238,170051,170051,166128,166128
0.824775,5.90158,170051,170051,166128,166128
0.854283,5.79945,170051,170051,166128,166128
0.88328,5.68659,170051,170051,166128,166128
0.911713,5.56359,170051,170051,166128,166128
0.939531,5.43107,170051,170051,166128,166128
0.966686,5.28964,170051,170051,166128,166128
0.993134,5.13988,170051,170051,166128,166128
1.01883,4.9824,170051,170051,166128,166128
1.04375,4.81777,170051,170051,166128,166128
1.06783,4.64654,170051,170051,166128,166128
1.09107,4.46926,170051,170051,166128,166128
1.11341,4.28644,170051,170051,166128,166128
1.13485,4.09857,170051,170051,166128,166128
1.15534,3.90613,170051,170051,166128,166128
1.17487,3.70956,170051,170051,166128,166128
1.19342,3.50926,170051,170051,166128,166128
1.21096,3.30564,170051,170051,166128,166128
1.22749,3.09906,170051,170051,166128,166128
1.24299,2.88986,170051,170051,166128,166128
1.25744,2.67835,170051,170051,166128,166128
1.27083,2.46482,170051,170051,166128,166128
1.28315,2.24954,170051,170051,166128,166128
1.2944,2.03276,170051,170051,166128,166128
1.30456,1.8147,170051,170051,166128,166128
1.31364,1.59557,170051,170051,166128,166128
1.32162,1.37556,170051,170051,166128,166128
1.32849,1.15485,170051,170051,166128,166128
1.33427,0.933602,170051,170051,166128,166128
1.33894,0.711961,170051,170051,166128,166128
1.34249,0.490071,170051,170051,166128,166128
1.34495,0.268064,170051,170051,166128,166128
1.34629,0.0460683,170051,170051,166128,166128
1.34652,-0.175795,170051,170051,166128,166128
1.34564,-0.397406,170051,170051,166128,166128
1.34365,-0.618645,170051,170051,166128,166128
1.34056,-0.839392,170051,170051,166128,166128
1.33636,-1.05952,170051,170051,166128,166128
1.33106,-1.27891,170051,170051,166128,166128
1.32467,-1.49742,170051,170051,166128,166128
1.31718,-1.7149,170051,170051,166128,166128
1.30861,-1.93121,170051,170051,166128,166128
1.29895,-2.14618,170051,170051,166128,166128
1.28822,-2.35962,170051,170051,166128,166128
1.27642,-2.57135,170051,170051,166128,166128
1.26356,-2.78114,170051,170051,166128,166128
1.24966,-2.98878,170051,170051,166128,166128
1.23471,-3.19401,170051,170051,166128,166128
1.21874,-3.39656,170051,170051,166128,166128
1.20176,-3.59614,170051,170051,166128,166128
1.18378,-3.79243,170051,170051,166128,166128
1.16482,-3.98508,170051,170051,166128,166128
1.14489,-4.17374,170051,170051,166128,166128
1.12402,-4.35802,170051,170051,166128,166128
1.10223,-4.53749,170051,170051,166128,166128
1.07955,-4.71172,170051,170051,166128,166128
1.05599,-4.88024,170051,170051,166128,166128
1.03159,-5.04257,170051,170051,166128,166128
1.00637,-5.1982,170051,170051,166128,166128
0.980384,-5.34658,170051,170051,166128,166128
0.953651,-5.48718,170051,170051,166128,166128
0.926215,-5.61943,170051,170051,166128,166128
0.898118,-5.74276,170051,170051,166128,166128
0.869404,-5.85657,170051,170051,166128,166128
0.840121,-5.96027,170051,170051,166128,166128
0.81032,-6.05327,170051,170051,166128,166128
0.780053,-6.13499,170051,170051,166128,166128
0.749378,-6.20484,170051,170051,166128,166128
0.718354,-6.26225,170051,170051,166128,166128
0.687043,-6.30669,170051,170051,166128,166128
0.65551,-6.33764,170051,170051,166128,166128
0.623821,-6.35459,170051,170051,166128,166128
0.592048,-6.35711,170051,170051,166128,166128
0.560263,-6.34478,170051,170051,166128,166128
0.528539,-6.31725,170051,170051,166128,166128
0.496953,-6.2742,170051,170051,166128,166128
0.465582,-6.21539,170051,170051,166128,166128
0.434505,-6.14062,170051,170051,166128,166128
0.403802,-6.04978,170051,170051,166128,166128
0.373553,-5.94282,170051,170051,166128,166128
0.343839,-5.81973,170051,170051,166128,166128
